"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0044344","GO:0044344","cellular response to fibroblast growth factor stimulus","11/270","73/12803",3.34720209508258e-07,0.00077505103421165,0.000678324645102904,"CPS1/NGFR/SFRP1/HYAL1/CCN2/THBS1/FGFR4/CXCL8/APLN/FGFBP3/FLRT2",11
"GO:0006721","GO:0006721","terpenoid metabolic process","10/270","61/12803",5.15009389762158e-07,0.00077505103421165,0.000678324645102904,"CYP26B1/FDFT1/CYP26A1/HMGCS1/RBP1/CYP1A1/LSS/DHRS3/PLB1/CEL",10
"GO:0071774","GO:0071774","response to fibroblast growth factor","11/270","79/12803",7.6007021639879e-07,0.00077505103421165,0.000678324645102904,"CPS1/NGFR/SFRP1/HYAL1/CCN2/THBS1/FGFR4/CXCL8/APLN/FGFBP3/FLRT2",11
"GO:1902074","GO:1902074","response to salt","20/270","267/12803",9.51858807751489e-07,0.00077505103421165,0.000678324645102904,"GIPR/ACHE/PNPLA3/CAV1/RGS4/CASQ2/TRPM4/NT5E/THBS1/CYP1A1/LYPD1/ALOX15/ALPL/INHBB/KCNMB3/KCNJ10/CPNE7/COL18A1/RYR2/TGM2",20
"GO:0048514","GO:0048514","blood vessel morphogenesis","27/270","465/12803",1.86334273900153e-06,0.00100319916906148,0.000877999886824651,"NGFR/PPP1R16B/SFRP1/CAV1/SEMA5A/LOX/HYAL1/F3/CCN2/PTPRB/KLF2/ADM2/RIN2/CHI3L1/GPNMB/KLF4/CCN3/THBS1/ANXA3/TGFA/HPGD/CXCL8/APLN/COL18A1/AQP1/APELA/ITGB3",27
"GO:0030855","GO:0030855","epithelial cell differentiation","27/270","473/12803",2.57365224441232e-06,0.00100319916906148,0.000877999886824651,"CYP26B1/ARX/CPS1/PRKCH/RARB/PPP1R16B/CAV1/SFRP4/LHX3/WNT5B/ARHGEF26/MYCL/KLF2/FST/SCEL/KLF4/TMOD1/MYO7A/CYP1A1/ABCA12/HYDIN/ATOH8/KRT13/COL18A1/LBH/CD24/PCK2",27
"GO:0030198","GO:0030198","extracellular matrix organization","18/270","236/12803",2.61040432778602e-06,0.00100319916906148,0.000877999886824651,"COL23A1/NTN4/COL5A3/CAV1/LOX/LOXL4/ADAMTS19/FGFR4/OLFML2B/ELF3/MFAP4/ADAMTSL1/COL18A1/FLRT2/C6orf15/COLQ/COL28A1/ITGB3",18
"GO:0043062","GO:0043062","extracellular structure organization","18/270","236/12803",2.61040432778602e-06,0.00100319916906148,0.000877999886824651,"COL23A1/NTN4/COL5A3/CAV1/LOX/LOXL4/ADAMTS19/FGFR4/OLFML2B/ELF3/MFAP4/ADAMTSL1/COL18A1/FLRT2/C6orf15/COLQ/COL28A1/ITGB3",18
"GO:0045229","GO:0045229","external encapsulating structure organization","18/270","237/12803",2.77211928816498e-06,0.00100319916906148,0.000877999886824651,"COL23A1/NTN4/COL5A3/CAV1/LOX/LOXL4/ADAMTS19/FGFR4/OLFML2B/ELF3/MFAP4/ADAMTSL1/COL18A1/FLRT2/C6orf15/COLQ/COL28A1/ITGB3",18
"GO:0001525","GO:0001525","angiogenesis","24/270","400/12803",4.09505973608832e-06,0.0012660767118272,0.00110807030545645,"NGFR/PPP1R16B/SFRP1/CAV1/SEMA5A/HYAL1/F3/CCN2/PTPRB/KLF2/ADM2/CHI3L1/GPNMB/KLF4/CCN3/THBS1/ANXA3/TGFA/CXCL8/APLN/COL18A1/AQP1/APELA/ITGB3",24
"GO:0071407","GO:0071407","cellular response to organic cyclic compound","25/270","429/12803",4.2922718056093e-06,0.0012660767118272,0.00110807030545645,"CPS1/PAK3/PNPLA3/SFRP1/CAV1/RGS4/CASQ2/KLF9/PMEPA1/KLF2/TRPM4/CYP1A1/RORC/HCN3/ALPL/INHBB/PAQR8/INSIG1/RYR2/TGM2/HSPA1B/LBH/HSPA1B/AQP1/PCK2",25
"GO:0050673","GO:0050673","epithelial cell proliferation","21/270","322/12803",4.66469774084324e-06,0.0012660767118272,0.00110807030545645,"ARX/CCL26/NGFR/RAP1GAP/PPP1R16B/SFRP1/CAV1/SEMA5A/HYAL1/F3/KLF9/FST/CCN3/THBS1/IGFBP4/TGFA/ATOH8/APLN/NUPR1/APELA/ITGB3",21
"GO:0045823","GO:0045823","positive regulation of heart contraction","6/270","25/12803",1.05184382492967e-05,0.00225651891544232,0.00197490529645227,"RGS4/ADM2/TRPM4/APLN/RYR2/APELA",6
"GO:1903524","GO:1903524","positive regulation of blood circulation","6/270","25/12803",1.05184382492967e-05,0.00225651891544232,0.00197490529645227,"RGS4/ADM2/TRPM4/APLN/RYR2/APELA",6
"GO:0045765","GO:0045765","regulation of angiogenesis","16/270","212/12803",1.08344888019024e-05,0.00225651891544232,0.00197490529645227,"PPP1R16B/SFRP1/SEMA5A/HYAL1/F3/KLF2/ADM2/CHI3L1/GPNMB/KLF4/THBS1/ANXA3/CXCL8/AQP1/APELA/ITGB3",16
"GO:1901342","GO:1901342","regulation of vasculature development","16/270","213/12803",1.1495837027923e-05,0.00225651891544232,0.00197490529645227,"PPP1R16B/SFRP1/SEMA5A/HYAL1/F3/KLF2/ADM2/CHI3L1/GPNMB/KLF4/THBS1/ANXA3/CXCL8/AQP1/APELA/ITGB3",16
"GO:0001936","GO:0001936","regulation of endothelial cell proliferation","11/270","104/12803",1.17779617938346e-05,0.00225651891544232,0.00197490529645227,"CCL26/NGFR/PPP1R16B/CAV1/SEMA5A/F3/THBS1/ATOH8/APLN/APELA/ITGB3",11
