"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0009617","GO:0009617","response to bacterium","101/1276","457/13486",1.69042909856986e-16,5.79089181569334e-13,4.30804824280888e-13,"ABCC8/CX3CL1/SELE/NR1H4/NFKB2/CXCL2/ARG2/P2RX7/OAS1/IRAK3/NLRP1/HCK/ACP5/PYCARD/SERPINE1/CUBN/FAM20A/IL23A/OAS3/OAS2/TENT5A/IL1A/CCL20/GBP3/GBP1/CNR1/TNFAIP3/TRIM6/OPTN/PI3/SLPI/H2BC11/TMEM255A/IL1B/C3/CITED1/CCR7/ZFP36/VGF/IRF5/CD68/BPIFA2/IRAK2/CMPK2/IL6/TLR4/IFI44/HERC6/CYP1A1/GPC3/LCN2/ADM/MR1/GBP5/LY96/SPON2/PTGIR/GBP4/VCAM1/CXCL3/CXCL5/ZC3H12A/HPGD/GJB2/NOD2/AXL/LGALS9/CXCL10/CXCL11/CXCL8/FOS/CD14/LRG1/TRIB1/PCSK1/LPL/SSC5D/H2BC4/H2BC21/IFNE/TRDN/ISG15/PLA2G2A/C5AR1/PDCD1LG2/H2BC12/HLA-E/HLA-A/HLA-A/C4B/HLA-B/HLA-B/HLA-E/HLA-B/CFB/AQP1/LYN/CD24/H2BC6/TRAC/SOD2",101
"GO:0030198","GO:0030198","extracellular matrix organization","70/1276","262/13486",3.72167596311797e-16,5.79089181569334e-13,4.30804824280888e-13,"COL17A1/NFKB2/FBLN1/FAP/COL5A3/COL16A1/PAPLN/HAS3/SMPD3/CRISPLD2/APLP1/AEBP1/SPOCK2/COL1A1/COL12A1/NR2E1/LOX/COL7A1/TGFBI/MMP19/MMP24/COL5A1/MATN2/POSTN/PDGFRA/AGT/IL6/CTSV/MMP7/CYP1B1/LOXL4/ADAMTS14/COL2A1/FBLN5/COL8A1/ADAMTS19/ABI3BP/ADAMTS1/ADAMTS3/MMP14/MYO1E/CREB3L1/ADAMTS4/OLFML2B/CTSS/PBXIP1/ELF3/PTX3/ADAMTS15/SPINT1/AXIN2/NPNT/HAS2/COL8A2/EFEMP2/ADAMTS20/THSD4/COL14A1/MMP23B/COL27A1/DPP4/COLGALT2/COL11A2/COL15A1/VIT/COLQ/COL28A1/ITGB3/ECM2/COL3A1",70
"GO:0043062","GO:0043062","extracellular structure organization","70/1276","262/13486",3.72167596311797e-16,5.79089181569334e-13,4.30804824280888e-13,"COL17A1/NFKB2/FBLN1/FAP/COL5A3/COL16A1/PAPLN/HAS3/SMPD3/CRISPLD2/APLP1/AEBP1/SPOCK2/COL1A1/COL12A1/NR2E1/LOX/COL7A1/TGFBI/MMP19/MMP24/COL5A1/MATN2/POSTN/PDGFRA/AGT/IL6/CTSV/MMP7/CYP1B1/LOXL4/ADAMTS14/COL2A1/FBLN5/COL8A1/ADAMTS19/ABI3BP/ADAMTS1/ADAMTS3/MMP14/MYO1E/CREB3L1/ADAMTS4/OLFML2B/CTSS/PBXIP1/ELF3/PTX3/ADAMTS15/SPINT1/AXIN2/NPNT/HAS2/COL8A2/EFEMP2/ADAMTS20/THSD4/COL14A1/MMP23B/COL27A1/DPP4/COLGALT2/COL11A2/COL15A1/VIT/COLQ/COL28A1/ITGB3/ECM2/COL3A1",70
"GO:0045229","GO:0045229","external encapsulating structure organization","70/1276","263/13486",4.61793605717172e-16,5.79089181569334e-13,4.30804824280888e-13,"COL17A1/NFKB2/FBLN1/FAP/COL5A3/COL16A1/PAPLN/HAS3/SMPD3/CRISPLD2/APLP1/AEBP1/SPOCK2/COL1A1/COL12A1/NR2E1/LOX/COL7A1/TGFBI/MMP19/MMP24/COL5A1/MATN2/POSTN/PDGFRA/AGT/IL6/CTSV/MMP7/CYP1B1/LOXL4/ADAMTS14/COL2A1/FBLN5/COL8A1/ADAMTS19/ABI3BP/ADAMTS1/ADAMTS3/MMP14/MYO1E/CREB3L1/ADAMTS4/OLFML2B/CTSS/PBXIP1/ELF3/PTX3/ADAMTS15/SPINT1/AXIN2/NPNT/HAS2/COL8A2/EFEMP2/ADAMTS20/THSD4/COL14A1/MMP23B/COL27A1/DPP4/COLGALT2/COL11A2/COL15A1/VIT/COLQ/COL28A1/ITGB3/ECM2/COL3A1",70
"GO:0048514","GO:0048514","blood vessel morphogenesis","101/1276","491/13486",2.45156171986765e-14,2.45940671737122e-11,1.82963922040649e-11,"TNMD/ABCC8/CX3CL1/ADGRA2/ATP2B4/NGFR/MYLK/MCAM/FAP/RAPGEF3/CEACAM1/WNT11/NRCAM/NRP1/JAG1/PPP1R16B/EYA1/SFRP1/TSPAN12/CCL24/SERPINE1/BMPR1A/NR2E1/LOX/FGF1/PDGFRB/AMOTL2/IL1A/FN1/STAT1/EPAS1/PROX1/TNFAIP3/TEK/TGFBI/PTK2B/ADGRB2/CXCR4/MMP19/EREG/IL1B/C3/CITED1/APOE/RIN2/CHI3L1/VAV3/PDGFRA/GPNMB/IL6/KLF4/CYP1B1/ITGAV/ITGAX/ACKR3/COL8A1/NTRK2/ADAM12/ADM/TBX6/HMGA2/THY1/ADAMTS1/MMP14/MYO1E/CREB3L1/PLXDC1/TGFBR2/ZC3H12A/HPGD/SHH/TMEM100/ANGPTL4/EFNA1/CXCL10/MINAR1/NPR1/CXCL8/HAS2/JUNB/LRG1/COL8A2/EFEMP2/SPHK1/FZD8/APOLD1/EGR3/GJC1/NOG/FOXO4/TNFAIP2/APOD/COL27A1/C5AR1/PDGFA/COL15A1/AQP1/APELA/ITGB3/STRA6/COL3A1",101
"GO:0050900","GO:0050900","leukocyte migration","66/1276","259/13486",3.19097522042807e-14,2.66765528427786e-11,1.98456265902061e-11,"ITGA3/CX3CL1/CCL26/SELE/CD74/CXCL2/ICAM1/HCK/SMPD3/PYCARD/PTN/CCL24/SERPINE1/DOCK8/CXCL12/IL23A/TRPV4/IL1A/CCL20/IL1R1/TNFSF18/PTK2B/CXCR4/TNFAIP6/IL1B/CCR7/MTUS1/VAV3/ITGA7/IL6/IL33/CYP19A1/CH25H/MSTN/PTPRO/MCOLN2/THY1/MMP14/IL34/F11R/VCAM1/CXCL3/CXCL5/ITGA2/RET/NOD2/LGALS9/ROR2/CXCL10/CXCL11/CXCL8/RAC3/FUT9/CMKLR1/GBA1/TNFRSF18/SELL/APOD/C5AR1/DPP4/ITGA1/MSMP/LYN/ITGB3/PECAM1/PADI2",66
"GO:0002252","GO:0002252","immune effector process","94/1276","458/13486",2.34531583207165e-13,1.68058631623877e-10,1.25024731198406e-10,"CD74/GAB2/STXBP2/IL4R/CEACAM1/P2RX7/ICAM1/IRAK3/MFNG/HCK/JAG1/ACP5/PYCARD/RELB/IL4I1/JAK3/RIGI/PTGDS/LIPA/HPX/POU2AF1/IL23A/C7/IL1R1/MYB/VAMP8/NR4A3/TGFB3/TNFSF18/PTK2B/TRIM6/NMI/IL1B/CD70/C3/FGL2/DNAJB9/IRF5/BST2/RFTN1/VAV3/RSAD2/DYSF/IL6/HLX/TLR4/IL33/DDX60/RBP4/CD226/MR1/ENPP3/SPON2/LAPTM5/PTX3/ZC3H12A/RAET1E/NOD2/AXL/NFKBID/LGALS9/ITGAM/JUNB/RASGRP1/A2M/TCIM/LACC1/C1S/IFNE/RAET1G/GNL1/HLA-E/CFI/HLA-C/HLA-C/HLA-A/DENND1B/HLA-A/HLA-C/C4A/C4B/HLA-B/HLA-DRA/HLA-B/HLA-E/HLA-F/HLA-B/HLA-F/CFB/LYN/MILR1/IRF7/SEMA7A/C1R",94
"GO:0002697","GO:0002697","regulation of immune effector process","67/1276","286/13486",1.47257556005407e-12,9.23304876153899e-10,6.86878994788377e-10,"CD74/GAB2/STXBP2/IL4R/CEACAM1/P2RX7/ICAM1/IRAK3/ACP5/PYCARD/IL4I1/JAK3/RIGI/HPX/IL23A/IL1R1/VAMP8/NR4A3/TGFB3/TNFSF18/TRIM6/IL1B/C3/FGL2/DNAJB9/IRF5/BST2/RSAD2/IL6/HLX/TLR4/IL33/DDX60/RBP4/CD226/MR1/ENPP3/SPON2/LAPTM5/ZC3H12A/RAET1E/NOD2/AXL/NFKBID/LGALS9/ITGAM/JUNB/RASGRP1/A2M/LACC1/RAET1G/HLA-E/HLA-C/HLA-C/HLA-A/DENND1B/HLA-A/HLA-C/HLA-B/HLA-DRA/HLA-B/HLA-E/HLA-F/HLA-B/HLA-F/LYN/SEMA7A",67
"GO:0008015","GO:0008015","blood circulation","78/1276","363/13486",2.48666310880937e-12,1.38590023930976e-09,1.03101996733675e-09,"ACSM3/ABCC8/EHD3/CELF2/PKP2/ATP2B4/TBXAS1/GUCY1B1/SREBF1/CEACAM1/PTGS1/PCSK5/KCNK6/TJP3/CXCL12/ACTA2/MAP2K6/SOD3/TRPV4/MYL2/BVES/HBEGF/STAT1/EPAS1/FAAH/CNR1/SGK1/CASQ2/FKBP1B/TEK/POPDC2/CXCR4/KCNJ2/FGF13/APOE/ACE2/POSTN/AGT/ANK2/GSN/ADD3/ADM/PTPRO/KCNE4/GPD1L/TTN/KCNMA1/CBS/UCN/ZC3H12A/GUCY1A1/ERAP2/BDKRB2/CXCL10/NPR1/ADRA1B/ADRA1D/PDE3A/TCAP/FGFBP3/HSD11B2/HTR1D/KCNE1/GJC1/CTNNA3/KCNJ12/KCND2/PRKG1/TRDN/HRH1/OCLN/C2CD4A/IER3/ITGA1/IER3/APELA/YWHAE/SOD2",78
"GO:0006935","GO:0006935","chemotaxis","71/1276","317/13486",3.13693427691707e-12,1.43044203027418e-09,1.06415617336565e-09,"CX3CL1/CCL26/ANOS1/PLAUR/SEMA3B/CD74/ADGRA2/NTN1/CXCL2/CMTM1/NRP1/NOVA2/PTN/CCL24/SERPINE1/CXCL12/IL23A/TRPV4/HBEGF/LOX/FGF1/PDGFRB/CCL20/TNFSF18/PTK2B/CXCR4/PLAU/TNFAIP6/IL1B/CCR7/MTUS1/VAV3/PDGFRA/GPNMB/IL6/ENPP2/CYP19A1/CH25H/MSTN/ITGAV/ACKR3/PTPRO/IL34/VCAM1/CXCL3/CXCL5/ITGA2/NOD2/GDNF/LGALS9/CXCL10/CXCL11/CXCL8/RAC3/CMKLR1/EGR3/UNC5C/EFNA5/ROBO2/C5AR1/PDGFA/DPP4/L1CAM/ITGA1/MSMP/PLXNA4/LYN/ITGB3/LTB4R2/SEMA7A/PADI2",71
"GO:0042330","GO:0042330","taxis","71/1276","317/13486",3.13693427691707e-12,1.43044203027418e-09,1.06415617336565e-09,"CX3CL1/CCL26/ANOS1/PLAUR/SEMA3B/CD74/ADGRA2/NTN1/CXCL2/CMTM1/NRP1/NOVA2/PTN/CCL24/SERPINE1/CXCL12/IL23A/TRPV4/HBEGF/LOX/FGF1/PDGFRB/CCL20/TNFSF18/PTK2B/CXCR4/PLAU/TNFAIP6/IL1B/CCR7/MTUS1/VAV3/PDGFRA/GPNMB/IL6/ENPP2/CYP19A1/CH25H/MSTN/ITGAV/ACKR3/PTPRO/IL34/VCAM1/CXCL3/CXCL5/ITGA2/NOD2/GDNF/LGALS9/CXCL10/CXCL11/CXCL8/RAC3/CMKLR1/EGR3/UNC5C/EFNA5/ROBO2/C5AR1/PDGFA/DPP4/L1CAM/ITGA1/MSMP/PLXNA4/LYN/ITGB3/LTB4R2/SEMA7A/PADI2",71
