"","category","subcategory","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"hsa04514","Environmental Information Processing","Signaling molecules and interaction","hsa04514","Cell adhesion molecule (CAM) interaction","38/692","103/6330",2.56506318349308e-12,8.5929616647018e-10,6.939170927976e-10,"6401/1462/3383/4897/6385/1013/94030/3685/152404/90952/10666/50848/4359/23308/102723996/7412/23114/3684/114798/1002/9378/201633/84189/84631/6402/54413/80380/100506658/3897/3108/3133/3107/3105/3106/3122/3134/3113/5175",38
"hsa05322","Human Diseases","Immune disease","hsa05322","Systemic lupus erythematosus","27/692","60/6330",1.79008134447275e-11,2.24208862618963e-09,1.81057903198974e-09,"730/8970/718/2212/3017/8365/8334/8347/716/8349/8969/85236/3108/720/110384692/721/3122/8341/3113/554313/440686/8355/8344/8348/8353/715/8337",27
"hsa04060","Environmental Information Processing","Signaling molecules and interaction","hsa04060","Cytokine-cytokine receptor interaction","44/692","139/6330",2.00784056076683e-11,2.24208862618963e-09,1.81057903198974e-09,"6376/10344/9235/355/3604/4804/3566/2920/3589/10148/6369/6387/657/51561/3552/6364/3554/7043/8995/7852/3553/970/1236/3976/9518/3569/90865/2660/658/83729/57007/9180/27242/3561/146433/3625/7048/2921/6374/3627/6373/3576/338376/8784",44
"hsa04610","Organismal Systems","Immune system","hsa04610","Complement and coagulation cascades","23/692","50/6330",3.34694468425294e-10,2.80306617306183e-08,2.26359153645528e-08,"7035/5329/5327/5054/730/5328/718/3687/624/3684/2/716/5627/2157/5104/5265/728/3426/720/110384692/721/629/715",23
"hsa05332","Human Diseases","Immune disease","hsa05332","Graft-versus-host disease","12/692","16/6330",3.20443579440846e-09,2.14697198225367e-07,1.73376841929047e-07,"355/3552/3553/3569/3108/3133/3107/3105/3106/3122/3134/3113",12
"hsa05150","Human Diseases","Infectious disease: bacterial","hsa05150","Staphylococcus aureus infection","17/692","35/6330",2.55588309674834e-08,1.42703472901782e-06,1.1523893962532e-06,"3383/718/3872/2212/3684/3860/716/728/3108/3426/720/110384692/721/3122/3113/629/715",17
"hsa05323","Human Diseases","Immune disease","hsa05323","Rheumatoid arthritis","23/692","61/6330",3.58720014857789e-08,1.71673149967656e-06,1.38633148599176e-06,"2920/3383/3589/54/50617/6387/51561/3552/6364/525/7043/7010/3553/3569/7099/2921/6374/3576/2353/3725/3108/3122/3113",23
"hsa04974","Organismal Systems","Digestive system","hsa04974","Protein digestion and absorption","24/692","69/6330",1.10202969349732e-07,4.61474934152002e-06,3.72660041090541e-06,"1308/50509/1307/1277/1303/1294/81578/59272/1289/1280/1292/1295/1358/1293/8645/1296/7373/4311/85301/1803/1302/1306/340267/1281",24
"hsa04940","Human Diseases","Endocrine and metabolic disease","hsa04940","Type I diabetes mellitus","12/692","21/6330",3.07238424953448e-07,1.14360969288228e-05,9.23511990795745e-06,"355/5798/3552/3553/3108/3133/3107/3105/3106/3122/3134/3113",12
"hsa05133","Human Diseases","Infectious disease: bacterial","hsa05133","Pertussis","22/692","63/6330",3.4587077426678e-07,1.15866709379371e-05,9.35671463016446e-06,"29108/51561/3552/3659/3553/718/2770/3569/7099/23643/6374/3576/163688/3684/2353/929/3725/716/720/110384692/721/715",22
"hsa04061","Environmental Information Processing","Signaling molecules and interaction","hsa04061","Viral protein interaction with cytokine and cytokine receptor","17/692","42/6330",6.83592332687809e-07,2.08184937682197e-05,1.68117922967241e-05,"6376/10344/2920/6369/6387/6364/7852/1236/3569/57007/3561/146433/2921/6374/3627/6373/3576",17
"hsa05320","Human Diseases","Immune disease","hsa05320","Autoimmune thyroid disease","9/692","14/6330",2.55779166611711e-06,6.5912323703787e-05,5.32269196916678e-05,"355/3108/3133/3107/3105/3106/3122/3134/3113",9
"hsa05330","Human Diseases","Immune disease","hsa05330","Allograft rejection","9/692","14/6330",2.55779166611711e-06,6.5912323703787e-05,5.32269196916678e-05,"355/3108/3133/3107/3105/3106/3122/3134/3113",9
"hsa04640","Organismal Systems","Immune system","hsa04640","Hematopoietic cell lineage","17/692","46/6330",3.07743471899179e-06,7.36386164901607e-05,5.94662197579616e-05,"3675/3566/3589/3552/3554/3553/3569/3673/3684/929/4311/3108/3672/3122/3113/3690/100133941",17
"hsa05321","Human Diseases","Immune disease","hsa05321","Inflammatory bowel disease","14/692","36/6330",1.16330660815925e-05,0.0002598051424889,0.000209803367225914,"3566/51561/3552/6772/7043/3553/3569/7099/3561/64127/3725/3108/3122/3113",14
"hsa04080","Environmental Information Processing","Signaling molecules and interaction","hsa04080","Neuroactive ligand-receptor interaction","32/692","143/6330",5.07633472847359e-05,0.00106285758377416,0.000858301332380074,"10886/1136/5027/9127/7433/4985/1268/718/7425/183/90226/2569/2846/133/2911/5739/7349/624/147/146/2859/3352/6752/4887/3269/728/1903/2550/100506013/55879/56413/1241",32
"hsa04668","Environmental Information Processing","Signal transduction","hsa04668","TNF signaling pathway","26/692","107/6330",5.95638171815602e-05,0.00117375757387192,0.000947857648028543,"6376/64285/6401/330/355/7185/2920/3383/182/5608/6364/7128/3659/3553/3976/3569/4323/90993/7412/2921/6374/64127/3627/2353/3726/3725",26
"hsa05169","Human Diseases","Infectious disease: viral","hsa05169","Epstein-Barr virus infection","35/692","166/6330",8.44272003112775e-05,0.00157128400579322,0.00126887663625721,"355/4791/4938/3383/4616/5971/3718/23586/5608/4940/4939/6772/7128/1026/3569/4609/953/55080/4794/3627/6773/3725/9636/919/3108/3133/3107/3105/10379/3106/3122/3134/3113/4067/3665",35
"hsa05202","Human Diseases","Cancer: overview","hsa05202","Transcriptional misregulation in cancer","30/692","137/6330",0.000131736986446539,0.00227801671199426,0.00183959244299301,"8842/8938/51513/330/7185/4804/4616/2138/5327/7704/8013/5328/1026/7849/3569/4609/3486/8091/7102/7048/3248/6692/3576/3684/929/7113/5154/440686/8355/8353",30
"hsa04064","Environmental Information Processing","Signal transduction","hsa04064","NF-kappa B signaling pathway","21/692","82/6330",0.000136000997731001,0.00227801671199426,0.00183959244299301,"330/7185/4791/2920/3383/4616/5971/23586/6387/3554/7128/5328/3553/7099/23643/7412/2921/3576/929/1460/4067",21
"hsa04820",NA,NA,"hsa04820","Cytoskeleton in muscle cells","36/692","180/6330",0.000207208774234201,0.00330547330325987,0.00266930601394434,"3675/1462/5318/2023/2192/50509/825/10398/1277/4633/2335/8082/6385/2318/1289/272/3679/22801/51332/3685/1292/22989/287/7273/1293/2199/3673/171024/8557/4703/85301/7169/1302/3672/3690/1281",36
"hsa04512","Environmental Information Processing","Signaling molecules and interaction","hsa04512","ECM-receptor interaction","19/692","73/6330",0.000223509205036843,0.00340343562215193,0.0027484146265296,"3675/3909/3918/22798/1277/2335/6385/3679/22801/3685/1280/1292/1293/3673/158326/255743/3914/3672/3690",19
"hsa04612","Organismal Systems","Immune system","hsa04612","Antigen processing and presentation","14/692","46/6330",0.000259134939789891,0.00377435673172232,0.00304794871972549,"972/55080/1520/3310/4261/3108/3133/3107/3105/10437/3106/3122/3134/3113",14
"hsa05146","Human Diseases","Infectious disease: parasitic","hsa05146","Amoebiasis","19/692","75/6330",0.000326219877752943,0.00455348579363483,0.00367712756940817,"3909/3918/2920/384/22798/1277/2335/3554/7043/3553/3569/7099/9630/2921/3576/3684/929/3914/1281",19
"hsa05034","Human Diseases","Substance dependence","hsa05034","Alcoholism","25/692","112/6330",0.000345100260832305,0.00462434349515289,0.003734348085638,"84254/8970/2354/2770/25759/1644/4915/90993/3017/8365/163688/8334/8347/8349/399694/8969/85236/8341/554313/440686/8355/8344/8348/8353/8337",25
"hsa05164","Human Diseases","Infectious disease: viral","hsa05164","Influenza A","27/692","126/6330",0.000408290400702778,0.00526066477828579,0.00424820376439733,"355/4938/3383/29108/23586/4940/4939/3552/64135/6772/3553/91543/3569/7099/90865/4599/3627/3576/6773/4261/4600/7113/3108/10379/3122/3113/3665",27
"hsa04020","Environmental Information Processing","Signal transduction","hsa04020","Calcium signaling pathway","34/692","173/6330",0.000434056202674803,0.00538551214429849,0.0043490231613031,"816/493/4638/5027/9127/2246/5159/845/2185/113/7852/5156/2250/3707/4915/3708/2911/255231/9630/5979/624/2668/163688/147/6588/146/93129/8877/10345/3269/5154/777/6263/56413",34
