Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR27592752_1	29.013102721975258	47.0	74.0	74	9.090909090909092	16821304.0
SRR27592752_2	23.756624399699746	48.0	74.0	74	9.090909090909092	16821304.0
SRR27592753_1	30.475378128291737	47.0	74.0	74	0.0	19081484.0
SRR27592753_2	26.179460932872118	48.0	74.0	74	9.090909090909092	19081484.0
SRR27592754_1	29.27610091786005	48.0	74.0	74	0.0	18077455.0
SRR27592754_2	24.885234079326082	48.0	74.0	74	9.090909090909092	18077455.0
SRR27592755_1	31.036694284419326	48.0	74.0	74	9.090909090909092	19405293.0
SRR27592755_2	26.86842126179407	48.0	74.0	74	9.090909090909092	19405293.0
SRR27592756_1	34.74409942549316	47.0	74.0	74	0.0	26153828.0
SRR27592756_2	29.553285425406884	48.0	74.0	74	9.090909090909092	26153828.0
SRR27592757_1	33.67540947385132	48.0	74.0	74	0.0	23811802.0
SRR27592757_2	28.203656361258794	48.0	74.0	74	9.090909090909092	23811802.0
SRR27592758_1	43.6421220846254	47.0	74.0	74	9.090909090909092	51330334.0
SRR27592758_2	35.44461196448148	48.0	74.0	74	9.090909090909092	51330334.0
SRR27592759_1	29.575909964881674	47.0	74.0	74	0.0	19508756.0
SRR27592759_2	26.926370180404504	48.0	74.0	74	9.090909090909092	19508756.0
SRR27592760_1	30.62824696190748	48.0	74.0	74	0.0	19735429.0
SRR27592760_2	26.78273800127414	48.0	74.0	74	9.090909090909092	19735429.0
SRR27592761_1	35.65809772797624	47.0	74.0	74	9.090909090909092	26334613.0
SRR27592761_2	31.326635475411052	48.0	74.0	74	9.090909090909092	26334613.0
SRR27592762_1	33.91878828217344	48.0	74.0	74	9.090909090909092	22277858.0
SRR27592762_2	28.774413706646882	48.0	74.0	74	9.090909090909092	22277858.0
SRR27592763_1	44.55204528818082	47.0	74.0	74	9.090909090909092	53098848.0
SRR27592763_2	39.25364382133459	48.0	74.0	74	9.090909090909092	53098848.0
