Module	Section	Sample Name	Source
FastQC	all_sections	SRR27592752_1	/home/mbdusr/rnaseq_project/results/fastqc_raw/SRR27592752_1_fastqc.zip
FastQC	all_sections	SRR27592752_2	/home/mbdusr/rnaseq_project/results/fastqc_raw/SRR27592752_2_fastqc.zip
FastQC	all_sections	SRR27592753_1	/home/mbdusr/rnaseq_project/results/fastqc_raw/SRR27592753_1_fastqc.zip
FastQC	all_sections	SRR27592753_2	/home/mbdusr/rnaseq_project/results/fastqc_raw/SRR27592753_2_fastqc.zip
FastQC	all_sections	SRR27592754_1	/home/mbdusr/rnaseq_project/results/fastqc_raw/SRR27592754_1_fastqc.zip
FastQC	all_sections	SRR27592754_2	/home/mbdusr/rnaseq_project/results/fastqc_raw/SRR27592754_2_fastqc.zip
FastQC	all_sections	SRR27592755_1	/home/mbdusr/rnaseq_project/results/fastqc_raw/SRR27592755_1_fastqc.zip
FastQC	all_sections	SRR27592755_2	/home/mbdusr/rnaseq_project/results/fastqc_raw/SRR27592755_2_fastqc.zip
FastQC	all_sections	SRR27592756_1	/home/mbdusr/rnaseq_project/results/fastqc_raw/SRR27592756_1_fastqc.zip
FastQC	all_sections	SRR27592756_2	/home/mbdusr/rnaseq_project/results/fastqc_raw/SRR27592756_2_fastqc.zip
FastQC	all_sections	SRR27592757_1	/home/mbdusr/rnaseq_project/results/fastqc_raw/SRR27592757_1_fastqc.zip
FastQC	all_sections	SRR27592757_2	/home/mbdusr/rnaseq_project/results/fastqc_raw/SRR27592757_2_fastqc.zip
FastQC	all_sections	SRR27592759_1	/home/mbdusr/rnaseq_project/results/fastqc_raw/SRR27592759_1_fastqc.zip
FastQC	all_sections	SRR27592759_2	/home/mbdusr/rnaseq_project/results/fastqc_raw/SRR27592759_2_fastqc.zip
FastQC	all_sections	SRR27592760_1	/home/mbdusr/rnaseq_project/results/fastqc_raw/SRR27592760_1_fastqc.zip
FastQC	all_sections	SRR27592760_2	/home/mbdusr/rnaseq_project/results/fastqc_raw/SRR27592760_2_fastqc.zip
FastQC	all_sections	SRR27592758_1	/home/mbdusr/rnaseq_project/results/fastqc_raw/SRR27592758_1_fastqc.zip
FastQC	all_sections	SRR27592758_2	/home/mbdusr/rnaseq_project/results/fastqc_raw/SRR27592758_2_fastqc.zip
FastQC	all_sections	SRR27592761_1	/home/mbdusr/rnaseq_project/results/fastqc_raw/SRR27592761_1_fastqc.zip
FastQC	all_sections	SRR27592761_2	/home/mbdusr/rnaseq_project/results/fastqc_raw/SRR27592761_2_fastqc.zip
FastQC	all_sections	SRR27592762_1	/home/mbdusr/rnaseq_project/results/fastqc_raw/SRR27592762_1_fastqc.zip
FastQC	all_sections	SRR27592762_2	/home/mbdusr/rnaseq_project/results/fastqc_raw/SRR27592762_2_fastqc.zip
FastQC	all_sections	SRR27592763_1	/home/mbdusr/rnaseq_project/results/fastqc_raw/SRR27592763_1_fastqc.zip
FastQC	all_sections	SRR27592763_2	/home/mbdusr/rnaseq_project/results/fastqc_raw/SRR27592763_2_fastqc.zip
