Module	Section	Sample Name	Source
FastQC	all_sections	SRR27592752_1	/home/mbdusr/rnaseq_project/results/fastqc_trimmed/SRR27592752_1.trimmed_fastqc.zip
FastQC	all_sections	SRR27592752_2	/home/mbdusr/rnaseq_project/results/fastqc_trimmed/SRR27592752_2.trimmed_fastqc.zip
FastQC	all_sections	SRR27592753_1	/home/mbdusr/rnaseq_project/results/fastqc_trimmed/SRR27592753_1.trimmed_fastqc.zip
FastQC	all_sections	SRR27592753_2	/home/mbdusr/rnaseq_project/results/fastqc_trimmed/SRR27592753_2.trimmed_fastqc.zip
FastQC	all_sections	SRR27592755_1	/home/mbdusr/rnaseq_project/results/fastqc_trimmed/SRR27592755_1.trimmed_fastqc.zip
FastQC	all_sections	SRR27592755_2	/home/mbdusr/rnaseq_project/results/fastqc_trimmed/SRR27592755_2.trimmed_fastqc.zip
FastQC	all_sections	SRR27592754_1	/home/mbdusr/rnaseq_project/results/fastqc_trimmed/SRR27592754_1.trimmed_fastqc.zip
FastQC	all_sections	SRR27592754_2	/home/mbdusr/rnaseq_project/results/fastqc_trimmed/SRR27592754_2.trimmed_fastqc.zip
FastQC	all_sections	SRR27592756_1	/home/mbdusr/rnaseq_project/results/fastqc_trimmed/SRR27592756_1.trimmed_fastqc.zip
FastQC	all_sections	SRR27592757_1	/home/mbdusr/rnaseq_project/results/fastqc_trimmed/SRR27592757_1.trimmed_fastqc.zip
FastQC	all_sections	SRR27592757_2	/home/mbdusr/rnaseq_project/results/fastqc_trimmed/SRR27592757_2.trimmed_fastqc.zip
FastQC	all_sections	SRR27592756_2	/home/mbdusr/rnaseq_project/results/fastqc_trimmed/SRR27592756_2.trimmed_fastqc.zip
FastQC	all_sections	SRR27592759_1	/home/mbdusr/rnaseq_project/results/fastqc_trimmed/SRR27592759_1.trimmed_fastqc.zip
FastQC	all_sections	SRR27592759_2	/home/mbdusr/rnaseq_project/results/fastqc_trimmed/SRR27592759_2.trimmed_fastqc.zip
FastQC	all_sections	SRR27592760_1	/home/mbdusr/rnaseq_project/results/fastqc_trimmed/SRR27592760_1.trimmed_fastqc.zip
FastQC	all_sections	SRR27592760_2	/home/mbdusr/rnaseq_project/results/fastqc_trimmed/SRR27592760_2.trimmed_fastqc.zip
FastQC	all_sections	SRR27592758_1	/home/mbdusr/rnaseq_project/results/fastqc_trimmed/SRR27592758_1.trimmed_fastqc.zip
FastQC	all_sections	SRR27592758_2	/home/mbdusr/rnaseq_project/results/fastqc_trimmed/SRR27592758_2.trimmed_fastqc.zip
FastQC	all_sections	SRR27592761_1	/home/mbdusr/rnaseq_project/results/fastqc_trimmed/SRR27592761_1.trimmed_fastqc.zip
FastQC	all_sections	SRR27592761_2	/home/mbdusr/rnaseq_project/results/fastqc_trimmed/SRR27592761_2.trimmed_fastqc.zip
FastQC	all_sections	SRR27592762_1	/home/mbdusr/rnaseq_project/results/fastqc_trimmed/SRR27592762_1.trimmed_fastqc.zip
FastQC	all_sections	SRR27592762_2	/home/mbdusr/rnaseq_project/results/fastqc_trimmed/SRR27592762_2.trimmed_fastqc.zip
FastQC	all_sections	SRR27592763_1	/home/mbdusr/rnaseq_project/results/fastqc_trimmed/SRR27592763_1.trimmed_fastqc.zip
FastQC	all_sections	SRR27592763_2	/home/mbdusr/rnaseq_project/results/fastqc_trimmed/SRR27592763_2.trimmed_fastqc.zip
